==== LOG START ====
[1763917959309 ms] VEL 0.000 0.000
[1763917959330 ms] POS 50.000 50.000
[1763917959331 ms] VEL 0.000 0.000
[1763917959354 ms] POS 50.000 50.000
[1763917959354 ms] VEL 0.000 0.000
[1763917959376 ms] POS 50.000 50.000
[1763917959376 ms] VEL 0.000 0.000
[1763917959397 ms] POS 50.000 50.000
[1763917959399 ms] VEL 0.000 0.000
[1763917959420 ms] POS 50.000 50.000
[1763917959421 ms] VEL 0.000 0.000
[1763917959443 ms] POS 50.000 50.000
[1763917959446 ms] VEL 0.000 0.000
[1763917959468 ms] POS 50.000 50.000
[1763917959474 ms] VEL 0.000 0.000
[1763917959496 ms] POS 50.000 50.000
[1763917959499 ms] VEL 0.000 0.000
[1763917959521 ms] POS 50.000 50.000
[1763917959524 ms] VEL 0.000 0.000
[1763917959545 ms] POS 50.000 50.000
[1763917959548 ms] VEL 0.000 0.000
[1763917959572 ms] POS 50.000 50.000
[1763917959574 ms] VEL 0.000 0.000
[1763917959597 ms] POS 50.000 50.000
[1763917959598 ms] VEL 0.000 0.000
[1763917959620 ms] POS 50.000 50.000
[1763917959621 ms] VEL 0.000 0.000
[1763917959644 ms] POS 50.000 50.000
[1763917959645 ms] VEL 0.000 0.000
[1763917959668 ms] POS 50.000 50.000
[1763917959670 ms] VEL 0.000 0.000
[1763917959696 ms] POS 50.000 50.000
[1763917959698 ms] VEL 0.000 0.000
[1763917959720 ms] POS 50.000 50.000
[1763917959720 ms] VEL 0.000 0.000
[1763917959743 ms] POS 50.000 50.000
[1763917959743 ms] VEL 0.000 0.000
[1763917959764 ms] POS 50.000 50.000
[1763917959765 ms] VEL 0.000 0.000
[1763917959786 ms] POS 50.000 50.000
[1763917959786 ms] VEL 0.000 0.000
[1763917959808 ms] POS 50.000 50.000
[1763917959808 ms] VEL 0.000 0.000
[1763917959829 ms] POS 50.000 50.000
[1763917959829 ms] VEL 0.000 0.000
[1763917959850 ms] POS 50.000 50.000
[1763917959851 ms] VEL 0.000 0.000
[1763917959872 ms] POS 50.000 50.000
[1763917959872 ms] VEL 0.000 0.000
[1763917959894 ms] POS 50.000 50.000
[1763917959894 ms] VEL 0.000 0.000
[1763917959916 ms] POS 50.000 50.000
[1763917959916 ms] VEL 0.000 0.000
[1763917959937 ms] POS 50.000 50.000
[1763917959947 ms] VEL 0.000 0.000
[1763917959968 ms] POS 50.000 50.000
[1763917959968 ms] VEL 0.000 0.000
[1763917959990 ms] POS 50.000 50.000
[1763917959999 ms] VEL 0.000 0.000
[1763917960020 ms] POS 50.000 50.000
[1763917960031 ms] VEL 0.000 0.000
[1763917960069 ms] POS 50.000 50.000
[1763917960072 ms] VEL 0.000 0.000
[1763917960095 ms] POS 50.000 50.000
[1763917960097 ms] VEL 0.000 0.000
[1763917960122 ms] POS 50.000 50.000
[1763917960137 ms] VEL 0.000 0.000
[1763917960175 ms] POS 50.000 50.000
[1763917960181 ms] VEL 0.000 0.000
[1763917960209 ms] POS 50.000 50.000
[1763917960215 ms] VEL 0.000 0.000
[1763917960241 ms] POS 50.000 50.000
[1763917960243 ms] VEL 0.000 0.000
[1763917960264 ms] POS 50.000 50.000
[1763917960266 ms] VEL 0.000 0.000
[1763917960288 ms] POS 50.000 50.000
[1763917960289 ms] VEL 0.000 0.000
[1763917960310 ms] POS 50.000 50.000
[1763917960312 ms] VEL 0.000 0.000
[1763917960333 ms] POS 50.000 50.000
[1763917960334 ms] VEL 0.000 0.000
[1763917960355 ms] POS 50.000 50.000
[1763917960356 ms] VEL 0.000 0.000
[1763917960376 ms] POS 50.000 50.000
[1763917960377 ms] VEL 0.000 0.000
[1763917960398 ms] POS 50.000 50.000
[1763917960399 ms] VEL 0.000 0.000
[1763917960420 ms] POS 50.000 50.000
[1763917960421 ms] VEL 0.000 0.000
[1763917960442 ms] POS 50.000 50.000
[1763917960442 ms] VEL 0.000 0.000
[1763917960464 ms] POS 50.000 50.000
[1763917960466 ms] VEL 0.000 0.000
[1763917960488 ms] POS 50.000 50.000
[1763917960488 ms] VEL 0.000 0.000
[1763917960511 ms] POS 50.000 50.000
[1763917960512 ms] VEL 0.000 0.000
[1763917960533 ms] POS 50.000 50.000
[1763917960534 ms] VEL 0.000 0.000
[1763917960556 ms] POS 50.000 50.000
[1763917960557 ms] VEL 0.000 0.000
[1763917960579 ms] POS 50.000 50.000
[1763917960580 ms] VEL 0.000 0.000
[1763917960602 ms] POS 50.000 50.000
[1763917960603 ms] VEL 0.000 0.000
[1763917960624 ms] POS 50.000 50.000
[1763917960625 ms] VEL 0.000 0.000
[1763917960646 ms] POS 50.000 50.000
[1763917960647 ms] VEL 0.000 0.000
[1763917960668 ms] POS 50.000 50.000
[1763917960671 ms] VEL 0.000 0.000
[1763917960692 ms] POS 50.000 50.000
[1763917960694 ms] VEL 0.000 0.000
[1763917960716 ms] POS 50.000 50.000
[1763917960716 ms] VEL 0.000 0.000
[1763917960737 ms] POS 50.000 50.000
[1763917960738 ms] VEL 0.000 0.000
[1763917960760 ms] POS 50.000 50.000
[1763917960760 ms] VEL 0.000 0.000
[1763917960781 ms] POS 50.000 50.000
[1763917960782 ms] VEL 0.000 0.000
[1763917960804 ms] POS 50.000 50.000
[1763917960804 ms] VEL 0.000 0.000
[1763917960825 ms] POS 50.000 50.000
[1763917960826 ms] VEL 0.000 0.000
[1763917960848 ms] POS 50.000 50.000
[1763917960848 ms] VEL 0.000 0.000
[1763917960869 ms] POS 50.000 50.000
[1763917960870 ms] VEL 0.000 0.000
[1763917960891 ms] POS 50.000 50.000
[1763917960892 ms] VEL 0.000 0.000
[1763917960913 ms] POS 50.000 50.000
[1763917960913 ms] VEL 0.000 0.000
[1763917960934 ms] POS 50.000 50.000
[1763917960935 ms] VEL 0.000 0.000
[1763917960956 ms] POS 50.000 50.000
[1763917960956 ms] VEL 0.000 0.000
[1763917960977 ms] POS 50.000 50.000
[1763917960978 ms] VEL 0.000 0.000
[1763917960999 ms] POS 50.000 50.000
[1763917960999 ms] VEL 0.000 0.000
[1763917961020 ms] POS 50.000 50.000
[1763917961020 ms] VEL 0.000 0.000
[1763917961041 ms] POS 50.000 50.000
[1763917961042 ms] VEL 0.000 0.000
[1763917961063 ms] POS 50.000 50.000
